method,method_label,n_pop,seed,fitness,feasible,wall_s,seed_ms,n_exact_eval,n_surrogate_eval,stopped_at_gen,frac_feasible_init,success
ga_gnn_policy,GA + GNN + policy seeding,100,2026,49.695191,1,8.9214,27.549,583,5636,59,0.3300,1
ga_gnn_policy,GA + GNN + policy seeding,100,2027,49.695191,1,11.7189,36.682,719,6598,69,0.3300,1
ga_gnn_policy,GA + GNN + policy seeding,100,2028,49.704374,1,8.6580,24.804,551,5027,56,0.3300,1
ga_gnn_policy,GA + GNN + policy seeding,100,2029,49.695191,1,9.2313,27.689,602,5811,61,0.3300,1
ga_gnn_policy,GA + GNN + policy seeding,100,2030,49.704374,1,8.9570,27.926,584,5556,59,0.3300,1
ga_gnn_policy,GA + GNN + policy seeding,100,2031,49.704374,1,9.1126,28.621,597,5872,61,0.3300,1
ga_gnn_policy,GA + GNN + policy seeding,100,2032,49.704374,1,8.9876,30.944,577,5462,58,0.3300,1
ga_gnn_policy,GA + GNN + policy seeding,100,2033,49.695191,1,9.0840,28.314,591,5795,60,0.3300,1
ga_gnn_policy,GA + GNN + policy seeding,100,2034,49.704374,1,9.1741,27.915,597,5830,61,0.3300,1
ga_gnn_policy,GA + GNN + policy seeding,200,2025,49.704374,1,12.9919,26.294,599,11667,60,0.3300,1
ga_gnn_policy,GA + GNN + policy seeding,200,2026,49.695191,1,12.6825,28.464,573,11298,58,0.3300,1
ga_gnn_policy,GA + GNN + policy seeding,200,2027,49.704374,1,13.0730,31.868,603,11704,60,0.3300,1
ga_gnn_policy,GA + GNN + policy seeding,200,2028,49.695191,1,13.6722,33.378,607,10700,55,0.3300,1
ga_gnn_policy,GA + GNN + policy seeding,200,2029,49.695191,1,14.6863,22.912,663,11709,60,0.3300,1
ga_gnn_policy,GA + GNN + policy seeding,200,2030,49.695191,1,13.8243,26.926,624,11035,57,0.3300,1
ga_gnn_policy,GA + GNN + policy seeding,200,2031,49.695191,1,13.5937,27.319,621,10847,56,0.3300,1
ga_gnn_policy,GA + GNN + policy seeding,200,2032,49.695191,1,13.5346,24.910,608,10758,55,0.3300,1
ga_gnn_policy,GA + GNN + policy seeding,200,2033,49.695191,1,17.1720,26.695,774,14280,73,0.3300,1
ga_gnn_policy,GA + GNN + policy seeding,200,2034,49.695191,1,13.4118,27.103,604,10650,55,0.3300,1
