method,method_label,point_index,wall_s,n_exact_eval,best_fitness
ga_gnn,GA + GNN surrogate,173,15.560252,1425,49.369572
ga_gnn,GA + GNN surrogate,174,15.643375,1434,49.369572
ga_gnn,GA + GNN surrogate,175,15.773965,1443,49.369572
ga_gnn,GA + GNN surrogate,176,15.902795,1452,49.369572
ga_gnn,GA + GNN surrogate,177,15.986687,1461,49.369572
ga_gnn,GA + GNN surrogate,178,16.072796,1470,49.369572
ga_gnn,GA + GNN surrogate,179,16.161118,1479,49.369572
ga_gnn,GA + GNN surrogate,180,16.248045,1488,49.369572
ga_gnn,GA + GNN surrogate,181,16.383209,1497,49.369572
ga_gnn,GA + GNN surrogate,182,16.500140,1506,49.369572
ga_gnn,GA + GNN surrogate,183,16.583658,1515,49.369572
ga_gnn,GA + GNN surrogate,184,16.671351,1524,49.369572
ga_gnn,GA + GNN surrogate,185,16.759439,1533,49.369572
ga_gnn,GA + GNN surrogate,186,16.844357,1542,49.369572
ga_gnn,GA + GNN surrogate,187,16.930195,1551,49.369572
ga_gnn,GA + GNN surrogate,188,17.019780,1560,49.369572
ga_gnn,GA + GNN surrogate,189,17.107521,1569,49.369572
ga_gnn,GA + GNN surrogate,190,17.197010,1578,49.369572
ga_gnn,GA + GNN surrogate,191,17.290733,1587,49.369572
ga_gnn,GA + GNN surrogate,192,18.225440,1667,49.369572
ga_gnn_policy,GA + GNN + policy seeding,0,0.123295,2,48.934241
ga_gnn_policy,GA + GNN + policy seeding,1,0.185584,9,48.934241
ga_gnn_policy,GA + GNN + policy seeding,2,0.249788,17,48.934241
ga_gnn_policy,GA + GNN + policy seeding,3,0.317013,25,49.667788
ga_gnn_policy,GA + GNN + policy seeding,4,0.387814,33,49.667788
ga_gnn_policy,GA + GNN + policy seeding,5,0.459228,41,49.667788
ga_gnn_policy,GA + GNN + policy seeding,6,0.524185,48,49.667788
ga_gnn_policy,GA + GNN + policy seeding,7,0.593083,56,49.681775
ga_gnn_policy,GA + GNN + policy seeding,8,0.660145,64,49.681775
ga_gnn_policy,GA + GNN + policy seeding,9,0.738024,73,49.681775
ga_gnn_policy,GA + GNN + policy seeding,10,0.815410,82,49.681775
ga_gnn_policy,GA + GNN + policy seeding,11,0.896027,90,49.681775
ga_gnn_policy,GA + GNN + policy seeding,12,0.965535,96,49.681775
ga_gnn_policy,GA + GNN + policy seeding,13,1.045634,105,49.681775
ga_gnn_policy,GA + GNN + policy seeding,14,1.166330,114,49.681775
ga_gnn_policy,GA + GNN + policy seeding,15,1.263124,121,49.681775
ga_gnn_policy,GA + GNN + policy seeding,16,1.344300,130,49.681775
ga_gnn_policy,GA + GNN + policy seeding,17,1.424459,139,49.681775
ga_gnn_policy,GA + GNN + policy seeding,18,1.504095,148,49.681775
ga_gnn_policy,GA + GNN + policy seeding,19,1.585321,157,49.681775
ga_gnn_policy,GA + GNN + policy seeding,20,1.670499,166,49.681775
ga_gnn_policy,GA + GNN + policy seeding,21,1.750975,174,49.681775
ga_gnn_policy,GA + GNN + policy seeding,22,1.829496,182,49.681775
ga_gnn_policy,GA + GNN + policy seeding,23,1.914446,191,49.681775
ga_gnn_policy,GA + GNN + policy seeding,24,2.001362,200,49.681775
ga_gnn_policy,GA + GNN + policy seeding,25,2.083621,208,49.681775
ga_gnn_policy,GA + GNN + policy seeding,26,2.167534,217,49.681775
ga_gnn_policy,GA + GNN + policy seeding,27,2.250472,226,49.681775
ga_gnn_policy,GA + GNN + policy seeding,28,2.372134,235,49.681775
ga_gnn_policy,GA + GNN + policy seeding,29,2.481403,244,49.681775
ga_gnn_policy,GA + GNN + policy seeding,30,2.566073,253,49.681775
ga_gnn_policy,GA + GNN + policy seeding,31,2.653124,262,49.681775
ga_gnn_policy,GA + GNN + policy seeding,32,2.737691,271,49.681775
ga_gnn_policy,GA + GNN + policy seeding,33,2.818746,280,49.681775
ga_gnn_policy,GA + GNN + policy seeding,34,2.935735,288,49.681775
ga_gnn_policy,GA + GNN + policy seeding,35,3.050498,296,49.681775
ga_gnn_policy,GA + GNN + policy seeding,36,3.129633,305,49.681775
ga_gnn_policy,GA + GNN + policy seeding,37,3.212902,314,49.681775
